Datum,Ticker,Aktion,Menge,Kurs,Konfidenz,Grund,RSI,Trend,Depot-Typ,Risk,Regime,Decision-ID
2026-08-07T20:01:35,ASTS,kaufen,voll,71.12,58,"Neutraler Trend, RSI 65.4 nicht überkauft, VIX niedrig (14.9), Volumen-Ratio 0.55x > 0.3x-Schwelle. ",65.4,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260807_200135_ASTS_aktien_na
2026-08-07T20:45:53,BB,verkaufen,voll,8.91,60,"Klarer Abwärtstrend (Kurs < SMA20 < SMA50), niedriges Volumen (0.45x), RSI neutral bei 51.6, kein Ca",51.6,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260807_204553_BB_aktien_na
2026-08-07T21:17:38,JDST,kaufen,voll,26.84,58,"RSI 22.8 stark überverkauft, Volumen 2.0x über Schnitt, keine Position vorhanden. Leveraged Bear-ETF",22.8,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260807_211738_JDST_aktien_na
2026-08-07T21:32:40,BOIL,kaufen,voll,19.09,45,"RSI 35.5 nähert sich überverkauft, kleine Position (max 30% Cash) erlaubt bei Hebel-ETF zum Lernen; ",35.5,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260807_213240_BOIL_aktien_na
2026-08-07T21:33:14,MSTR,kaufen,voll,99.3,55,"Neutrales Setup (RSI 51.7, Kurs zwischen SMAs) aber gutes Volumen (1.55x). MSTR ist Volatilitätstite",51.7,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260807_213314_MSTR_aktien_na
2026-08-07T21:50:29,BOIL,verkaufen,voll,19.16,60,"Downtrend intakt (Kurs < SMA20 < SMA50), RSI 36 noch nicht überverkauft genug, Hebel-ETF (lev-bull) ",36.0,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260807_215029_BOIL_aktien_na
2026-08-07T21:50:41,BB,kaufen,voll,8.98,58,"Neutrales Setup (RSI 52.8, Kurs zwischen SMA20/50), Volumen-Ratio 0.53x über 0.3x-Schwelle, $103 Cas",52.8,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260807_215041_BB_aktien_na
2026-08-07T21:51:02,BOIL,verkaufen,voll,19.16,60,Abwärtstrend (Kurs < SMA20 < SMA50) bei 2x-Hebel-ETF: Volatilitätsverfall gefährlich. Anti-Hold-Rege,36.0,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260807_215102_BOIL_aktien_na
2026-08-07T21:51:19,IONQ,kaufen,voll,44.26,55,"Neutraler Trend, RSI 68.4 (nicht überkauft), Volumen 1.22x über Schnitt, Cash verfügbar. Meta-Regeln",68.4,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260807_215119_IONQ_aktien_na
2026-08-07T21:52:03,MRNA,kaufen,voll,59.13,58,"Neutrales Setup (RSI 49, Trend seitwärts), aber Watchlist-Ticker mit verfügbarem Cash. Strategie bev",49.3,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260807_215203_MRNA_aktien_na
2026-08-07T21:52:29,RGTI,kaufen,voll,17.65,55,"Watchlist-Titel mit Cash-Verfügbarkeit, gesundes Volumen (1.12x), RSI nicht überkauft (63.8), aber n",63.8,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260807_215229_RGTI_aktien_na
